,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
"$10,000 under $25,000",324,719,285,"5,535",271,"4,038",64,65,189,157,27,*         ,29
"$25,000 under $50,000",234,636,272,"8,337",213,"6,598",80,59,169,432,28,11,57
"$50,000 under $75,000",87,256,100,"5,277",77,"4,252",51,30,84,419,12,11,44
"$75,000 under $100,000",22,74,31,"1,894",20,"1,580",12,4,21,195,16,*         ,16
"$100,000 or more     ",22,57,14,"2,755",17,"1,222",18,41,22,366,*         ,*         ,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95969,"11,017","21,336","5,288","440,022","7,577","260,019","5,893","11,904","8,311","46,281","1,971",36,"3,908"
"Under $10,000        ","2,301","2,999",380,"8,193","1,434","7,607",739,789,732,304,355,10,150
"$10,000 under $25,000","2,959","4,856","1,016","50,360","1,882","28,934","1,272","2,188","2,181","2,155",408,12,508
"$25,000 under $50,000","2,732","5,657","1,523","97,985","1,938","60,356","1,507","2,651","2,418","6,755",472,*         ,"1,024"
"$50,000 under $75,000","1,556","3,865","1,149","95,312","1,181","61,396","1,115","2,037","1,514","8,684",349,*         ,966
"$75,000 under $100,000",715,"1,895",571,"61,052",569,"40,076",583,"1,340",712,"6,568",168,14,565
"$100,000 or more     ",754,"2,064",649,"127,120",573,"61,650",677,"2,899",754,"21,815",219,*         ,695
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95970,244,516,156,"9,933",193,"6,277",115,202,188,"1,262",22,38,49
"Under $10,000        ",47,66,9,-257,31,233,18,16,21,6,*         ,14,--        
"$10,000 under $25,000",71,121,35,"1,184",56,816,20,9,51,65,*         ,*         ,*         
"$25,000 under $50,000",58,152,60,"2,093",49,"1,511",25,64,49,143,22,12,23
"$50,000 under $75,000",25,76,31,"1,559",21,966,14,6,24,150,*         ,*         ,*         
"$75,000 under $100,000",20,47,12,"1,691",16,"1,012",17,48,20,215,*         ,12,10
"$100,000 or more     ",23,54,9,"3,663",20,"1,739",21,59,23,683,*         ,*         ,16
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95971,"2,860","5,638","1,513","133,965","2,341","82,105","1,311","2,282","2,231","13,728",591,*         ,937
"Under $10,000        ",578,728,104,"1,969",446,"2,526",108,101,193,57,87,*         ,18
"$10,000 under $25,000",667,"1,078",245,"11,366",515,"7,875",207,262,495,530,98,--        ,95
"$25,000 under $50,000",706,"1,435",420,"25,697",582,"18,584",325,380,643,"1,983",159,*         ,204
"$50,000 under $75,000",463,"1,168",369,"28,430",410,"20,953",306,428,455,"2,682",113,*         ,253
"$75,000 under $100,000",248,688,214,"21,294",224,"15,926",192,274,247,"2,274",63,*         ,191
"$100,000 or more     ",198,541,161,"45,209",164,"16,241",173,837,198,"6,202",71,*         ,176
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95972,81,186,59,"2,277",54,"1,539",32,17,55,137,*         ,--        ,16
"Under $10,000        ",16,29,9,78,*         ,*              ,12,10,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",25,48,12,400,25,264,*         ,*              ,22,12,*         ,--        ,*         
"$25,000 under $50,000",24,61,18,814,14,415,20,7,19,50,*         ,--        ,16
"$50,000 under $75,000",16,48,20,985,15,860,*         ,*              ,14,75,--        ,--        ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95973,"12,157","25,050","7,704","568,275","9,855","390,206","5,926","10,523","9,416","66,438","2,159",251,"4,572"
"Under $10,000        ","2,394","3,139",472,"5,539","1,706","9,919",648,732,854,359,366,35,137
"$10,000 under $25,000","3,034","5,003","1,347","52,103","2,422","39,351",909,"1,296","2,263","2,442",360,24,375
"$25,000 under $50,000","2,908","6,116","1,995","105,840","2,466","82,139","1,334","1,712","2,530","7,582",491,39,"1,030"
"$50,000 under $75,000","1,706","4,500","1,585","105,406","1,439","78,215","1,206","1,881","1,657","9,145",374,52,"1,134"
"$75,000 under $100,000",989,"2,899","1,049","85,132",867,"64,744",802,"1,181",987,"8,560",246,26,827
"$100,000 or more     ","1,126","3,393","1,256","214,255",955,"115,838","1,027","3,721","1,125","38,350",322,75,"1,069"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95974,172,383,130,"8,785",127,"4,501",91,247,125,"1,158",18,16,66
"Under $10,000        ",30,37,6,76,19,130,10,1,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",41,77,23,657,30,478,14,12,34,35,*         ,*         ,*         
"$25,000 under $50,000",42,100,38,"1,550",33,"1,115",21,11,35,93,18,16,22
"$50,000 under $75,000",42,119,46,"2,741",32,"1,748",29,33,39,279,*         ,*         ,28
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*         ,*         
"$100,000 or more     ",17,50,17,"3,761",13,"1,030",17,190,17,751,*         ,*         ,16
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95975,847,"1,652",413,"34,713",605,"22,843",437,518,662,"3,628",233,12,350
"Under $10,000        ",182,235,27,360,109,633,46,45,66,37,56,12,17
"$10,000 under $25,000",183,295,59,"2,980",116,"1,743",81,137,134,156,37,--        ,29
"$25,000 under $50,000",228,461,124,"8,241",179,"5,661",125,180,216,631,56,*         ,91
"$50,000 under $75,000",124,322,111,"7,522",100,"5,216",81,71,117,719,40,--        ,93
"$75,000 under $100,000",61,159,45,"5,253",45,"3,292",45,35,60,580,19,*         ,52
"$100,000 or more     ",69,180,47,"10,357",56,"6,298",59,50,69,"1,505",25,*         ,68
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95977,602,"1,324",408,"25,746",475,"19,044",313,237,467,"2,348",134,15,310
"Under $10,000        ",101,137,24,164,64,355,31,7,40,28,31,*         ,*         
"$10,000 under $25,000",131,240,65,"2,341",94,"1,593",49,20,89,124,30,*         ,53
"$25,000 under $50,000",171,394,136,"6,345",144,"4,835",91,84,141,369,29,15,95
"$50,000 under $75,000",109,301,105,"6,687",95,"5,279",68,52,107,523,33,*         ,80
"$75,000 under $100,000",46,138,50,"3,943",41,"3,157",37,14,46,373,*         ,*         ,41
"$100,000 or more     ",44,114,28,"6,266",37,"3,825",37,60,44,931,11,*         ,41
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95978,93,204,66,"2,294",75,"1,682",22,6,56,140,11,--        ,*         
"Under $10,000        ",24,31,3,84,18,79,*         ,*              ,*         ,*              ,11,--        ,--        
"$10,000 under $25,000",28,55,14,461,23,361,*         ,*              ,21,13,*         ,--        ,--        
"$25,000 under $50,000",29,85,39,"1,022",23,713,22,6,25,67,*         ,--        ,*         
"$50,000 under $75,000",12,33,10,727,11,529,*         ,*              ,10,60,*         ,--        ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95979,201,403,102,"7,252",150,"4,378",95,120,157,653,25,15,46
"Under $10,000        ",37,55,10,122,28,108,*         ,*              ,10,3,11,*         ,--        
"$10,000 under $25,000",50,88,18,879,36,444,26,21,37,37,*         ,*         ,*         
"$25,000 under $50,000",54,108,30,"1,948",40,"1,165",30,48,51,142,14,15,15
"$50,000 under $75,000",44,118,40,"2,678",33,"1,733",27,44,43,239,*         ,*         ,19
"$75,000 under $100,000",16,34,4,"1,625",13,928,12,7,16,232,--        ,*         ,12
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95981,44,84,26,"1,155",28,525,16,1,26,67,*         ,--        ,*         
"Under $10,000        ",13,20,6,42,14,118,*         ,*              ,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",11,20,7,182,*         ,*              ,16,1,*         ,*              ,*         ,--        ,--        
"$25,000 under $50,000",20,44,13,931,14,407,*         ,*              ,26,67,*         ,--        ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95982,"1,406","3,291","1,180","63,329","1,172","47,324",627,902,"1,062","6,320",245,54,568
"Under $10,000        ",261,364,74,863,200,"1,056",53,60,83,33,32,*         ,*         
"$10,000 under $25,000",311,622,220,"5,284",236,"3,631",89,65,216,237,45,25,50
"$25,000 under $50,000",381,926,343,"14,078",327,"11,270",165,193,320,846,80,*         ,168
"$50,000 under $75,000",228,659,249,"14,076",204,"11,356",137,191,220,"1,116",50,17,142
"$75,000 under $100,000",115,378,160,"9,855",109,"8,616",86,16,113,818,17,*         ,103
"$100,000 or more     ",110,342,134,"19,173",96,"11,395",97,377,110,"3,270",21,12,105
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95983,211,412,101,"7,939",155,"5,073",116,146,163,832,48,*         ,68
"Under $10,000        ",47,79,19,143,26,136,18,8,15,8,14,*         ,*         
"$10,000 under $25,000",44,77,21,761,34,474,21,45,30,40,13,--        ,15
"$25,000 under $50,000",55,101,20,"2,206",43,"1,376",30,62,53,203,11,--        ,17
"$50,000 under $75,000",38,91,28,"2,270",29,"1,416",26,22,38,227,10,--        ,19
"$75,000 under $100,000",27,64,13,"2,559",23,"1,671",21,9,27,354,*         ,--        ,17
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95984,41,68,7,"1,395",27,405,21,5,28,101,*         ,--        ,*         
"Under $10,000        ",19,23,0,194,17,138,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$25,000 under $50,000",22,45,7,"1,201",10,267,21,5,28,101,--        ,--        ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95986,82,138,35,"1,615",62,938,17,34,48,87,11,--        ,15
"Under $10,000        ",26,35,8,140,21,106,*         ,*              ,*         ,*              ,11,--        ,--        
"$10,000 under $25,000",32,60,18,535,23,337,*         ,*              ,26,22,*         ,--        ,15
"$25,000 under $50,000",24,43,9,940,18,495,17,34,22,65,*         ,--        ,*         
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95987,"2,179","5,858","2,575","75,501","1,972","56,595",599,688,"1,286","5,797",236,101,516
"Under $10,000        ",377,622,167,"1,303",315,"1,813",52,36,112,67,42,15,17
"$10,000 under $25,000",685,"1,766",828,"12,151",639,"10,317",92,69,321,318,52,13,58
"$25,000 under $50,000",700,"2,209","1,067","24,826",652,"20,588",198,182,450,"1,152",76,35,168
"$50,000 under $75,000",244,773,344,"14,786",223,"12,053",129,101,231,"1,142",38,14,135
"$75,000 under $100,000",105,295,105,"8,868",94,"6,838",71,49,104,877,12,12,78
"$100,000 or more     ",68,193,64,"13,567",49,"4,986",57,251,68,"2,241",16,12,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95988,"3,455","7,625","2,657","128,567","2,795","85,581","1,394","2,250","2,428","12,810",481,167,895
"Under $10,000        ",695,989,212,"2,920",512,"2,608",158,123,217,92,82,24,35
"$10,000 under $25,000",993,"2,056",795,"16,966",827,"13,104",245,246,627,585,98,21,83
"$25,000 under $50,000",929,"2,341",937,"33,780",764,"24,797",375,431,751,"2,234",137,37,258
"$50,000 under $75,000",440,"1,156",373,"27,190",373,"19,873",280,354,435,"2,566",77,26,212
"$75,000 under $100,000",227,658,231,"19,446",186,"13,393",180,201,227,"2,282",49,28,164
"$100,000 or more     ",171,425,109,"28,265",133,"11,806",156,895,171,"5,051",38,31,143
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95991,"14,015","31,877","11,886","536,844","12,027","411,839","5,259","7,229","9,582","49,460","1,752",150,"4,409"
"Under $10,000        ","2,637","4,055","1,073","7,713","2,086","11,165",453,449,697,307,291,30,109
"$10,000 under $25,000","4,001","8,227","3,171","68,394","3,383","54,343",848,948,"2,398","2,343",346,13,393
"$25,000 under $50,000","3,703","9,061","3,685","132,482","3,282","108,677","1,374","1,346","2,924","7,682",437,27,"1,159"
"$50,000 under $75,000","1,952","5,468","2,115","119,665","1,741","96,136","1,195",986,"1,854","9,452",324,27,"1,247"
"$75,000 under $100,000",928,"2,774","1,033","79,747",850,"64,599",695,802,916,"7,666",152,17,775
"$100,000 or more     ",794,"2,292",809,"128,843",685,"76,919",694,"2,698",793,"22,010",202,36,726
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95992,978,"2,226",796,"56,279",772,"23,708",397,"1,580",647,"7,510",204,39,280
"Under $10,000        ",191,318,80,366,121,862,53,28,61,54,42,12,*         
"$10,000 under $25,000",311,681,253,"5,255",262,"3,755",80,108,171,198,48,*         ,46
"$25,000 under $50,000",267,684,285,"9,477",230,"7,221",100,119,211,612,45,14,80
"$50,000 under $75,000",88,224,79,"5,300",67,"3,340",57,94,85,543,39,*         ,51
"$75,000 under $100,000",40,116,42,"3,530",32,"2,351",35,75,38,397,*         ,*         ,31
"$100,000 or more     ",81,203,57,"32,351",60,"6,179",72,"1,156",81,"5,706",30,13,72
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
95993,"13,169","30,184","10,232","656,850","10,900","462,056","6,853","10,373","9,898","74,903","2,067",326,"5,508"
"Under $10,000        ","2,313","3,229",558,"-8,050","1,739","10,468",616,574,759,453,248,76,110
"$10,000 under $25,000","3,038","5,812","1,826","51,658","2,404","37,549",955,"1,082","2,002","2,080",381,51,428
"$25,000 under $50,000","3,158","7,730","2,924","114,831","2,676","87,712","1,581","1,796","2,572","6,902",493,61,"1,223"
"$50,000 under $75,000","2,037","5,604","2,084","126,135","1,766","95,025","1,467","1,717","1,954","10,083",385,41,"1,386"
"$75,000 under $100,000","1,290","3,862","1,433","111,684","1,156","87,053","1,036","1,492","1,279","10,501",249,36,"1,094"
"$100,000 or more     ","1,333","3,947","1,407","260,592","1,159","144,249","1,198","3,712","1,332","44,884",311,61,"1,267"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96001,"13,051","26,811","7,831","664,691","10,280","418,264","6,582","13,914","9,955","86,242","2,313",43,"5,199"
"Under $10,000        ","2,606","3,542",657,"6,671","1,943","10,592",624,609,862,335,318,--        ,129
"$10,000 under $25,000","3,169","5,391","1,459","53,268","2,429","37,793",970,"1,351","2,231","2,279",383,*         ,474
"$25,000 under $50,000","2,992","6,318","1,892","109,334","2,334","76,472","1,535","2,405","2,626","7,473",549,16,"1,206"
"$50,000 under $75,000","1,819","4,570","1,452","112,404","1,509","80,146","1,317","1,710","1,779","10,131",379,15,"1,203"
"$75,000 under $100,000","1,050","2,916",976,"89,984",910,"64,794",863,"1,328","1,044","9,416",253,*         ,871
"$100,000 or more     ","1,415","4,074","1,395","293,030","1,155","148,467","1,273","6,511","1,413","56,608",431,12,"1,316"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96002,"12,688","26,583","8,384","518,302","10,134","336,470","5,516","11,084","9,173","56,195","2,116",64,"4,181"
"Under $10,000        ","2,686","3,885",883,"8,244","2,050","11,251",581,607,843,372,348,12,129
"$10,000 under $25,000","3,688","6,688","2,081","63,039","2,901","46,675","1,025","1,495","2,503","2,560",453,*         ,477
"$25,000 under $50,000","3,009","6,869","2,294","108,058","2,451","79,929","1,380","1,645","2,575","6,810",533,14,"1,056"
"$50,000 under $75,000","1,613","4,270","1,437","98,854","1,338","71,517","1,104","1,402","1,565","8,256",325,12,"1,034"
"$75,000 under $100,000",847,"2,419",836,"72,770",726,"52,136",670,"1,115",842,"7,576",209,10,702
"$100,000 or more     ",845,"2,452",853,"167,337",668,"74,962",756,"4,820",845,"30,621",248,16,783
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96003,"16,532","33,473","9,455","694,116","13,095","473,898","8,025","13,530","12,615","71,818","2,778",98,"6,098"
"Under $10,000        ","3,110","4,297",789,"10,841","2,318","13,189",742,682,"1,025",423,423,*         ,158
"$10,000 under $25,000","4,417","7,365","1,858","75,514","3,276","51,723","1,555","2,244","3,150","3,195",511,20,671
"$25,000 under $50,000","4,141","8,742","2,576","149,741","3,346","109,017","1,988","2,963","3,641","10,064",740,12,"1,518"
"$50,000 under $75,000","2,366","6,061","1,942","145,559","2,017","107,736","1,624","2,281","2,308","12,683",485,26,"1,549"
"$75,000 under $100,000","1,302","3,653","1,208","111,386","1,149","84,052","1,043","1,049","1,295","11,457",299,16,"1,093"
"$100,000 or more     ","1,196","3,355","1,082","201,075",989,"108,181","1,073","4,311","1,196","33,996",320,24,"1,109"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96006,236,474,116,"8,141",167,"4,987",114,238,177,741,35,28,34
"Under $10,000        ",49,62,3,-12,27,108,20,66,14,3,*         ,17,--        
"$10,000 under $25,000",57,101,24,983,40,593,19,21,37,45,*         ,*         ,*         
"$25,000 under $50,000",79,172,47,"2,897",56,"1,776",39,115,75,210,35,11,15
"$50,000 under $75,000",28,71,20,"1,699",25,"1,161",18,22,28,156,*         ,*         ,19
"$75,000 under $100,000",23,68,22,"2,574",19,"1,349",18,14,23,327,*         ,*         ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96007,"8,776","18,419","5,793","300,381","7,254","223,572","3,357","4,869","6,225","25,927","1,330",225,"2,528"
"Under $10,000        ","1,803","2,609",536,"5,147","1,320","7,572",351,321,555,220,242,36,72
"$10,000 under $25,000","2,619","4,808","1,501","44,916","2,114","33,909",700,936,"1,755","1,742",308,37,297
"$25,000 under $50,000","2,402","5,690","2,033","86,332","2,108","69,154",972,948,"2,001","5,217",399,56,787
"$50,000 under $75,000","1,190","3,225","1,065","72,447","1,066","57,316",724,626,"1,155","5,909",210,52,738
"$75,000 under $100,000",460,"1,280",416,"39,424",406,"29,571",348,579,457,"4,057",88,23,362
"$100,000 or more     ",302,807,242,"52,115",240,"26,050",262,"1,459",302,"8,782",83,21,272
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96008,790,"1,677",477,"37,466",607,"23,236",415,783,619,"4,491",146,22,314
"Under $10,000        ",146,199,26,488,98,554,43,25,56,35,29,--        ,*         
"$10,000 under $25,000",213,376,94,"3,672",152,"2,312",73,61,159,161,30,10,50
"$25,000 under $50,000",188,439,141,"6,853",157,"4,941",104,168,166,480,45,*         ,71
"$50,000 under $75,000",115,293,89,"7,062",92,"4,945",84,248,111,591,28,*         ,76
"$75,000 under $100,000",67,196,67,"5,781",59,"4,390",56,36,67,553,*         ,12,58
"$100,000 or more     ",61,174,60,"13,610",49,"6,094",55,245,60,"2,671",14,*         ,59
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96009,222,522,173,"6,902",177,"5,509",92,55,163,605,30,27,31
"Under $10,000        ",48,79,13,-404,29,199,13,8,15,4,12,15,--        
"$10,000 under $25,000",61,130,45,"1,069",46,826,20,23,42,42,*         ,*         ,14
"$25,000 under $50,000",62,171,67,"2,409",54,"1,808",30,14,55,157,18,12,*         
"$50,000 under $75,000",37,102,34,"2,258",36,"1,813",29,10,37,208,*         ,*         ,17
"$75,000 under $100,000",14,40,14,"1,570",12,863,*         ,*              ,14,194,--        ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96010,62,137,43,"1,904",49,"1,123",18,1,42,128,*         ,--        ,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,--        ,--        
"$10,000 under $25,000",31,60,19,463,25,325,*         ,*              ,15,15,*         ,--        ,*         
"$25,000 under $50,000",31,77,24,"1,441",24,798,18,1,27,113,*         ,--        ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96011,58,118,38,"1,678",38,842,20,10,38,146,*         ,*         ,*         
"Under $10,000        ",18,29,9,45,10,28,10,5,*         ,*              ,*         ,*         ,--        
"$10,000 under $25,000",16,28,7,294,13,205,*         ,*              ,17,14,--        ,--        ,--        
"$25,000 under $50,000",13,40,17,499,15,609,10,5,10,30,*         ,--        ,*         
"$50,000 under $75,000",11,21,5,840,*         ,*              ,*         ,*              ,11,102,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96013,"1,740","3,760","1,150","64,454","1,427","47,287",662,"1,067","1,278","5,710",249,12,424
"Under $10,000        ",353,541,135,"1,295",264,"1,338",72,64,108,44,52,12,14
"$10,000 under $25,000",449,854,256,"7,618",348,"5,371",128,181,295,278,49,*         ,30
"$25,000 under $50,000",470,"1,105",362,"17,630",397,"13,382",172,226,418,"1,133",68,*         ,119
"$50,000 under $75,000",271,729,242,"16,485",243,"13,177",136,332,261,"1,398",47,*         ,114
"$75,000 under $100,000",122,334,100,"10,494",110,"8,091",90,152,122,"1,136",33,--        ,82
"$100,000 or more     ",75,197,55,"10,932",65,"5,928",64,112,74,"1,721",*         ,--        ,65
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96014,89,163,37,"2,554",60,"1,207",42,49,60,194,20,*         ,14
"Under $10,000        ",27,40,7,-56,16,112,*         ,*              ,*         ,*              ,10,--        ,*         
"$10,000 under $25,000",24,35,5,405,17,240,19,18,27,17,10,*         ,--        
"$25,000 under $50,000",25,56,17,932,27,855,13,19,21,74,*         ,--        ,14
"$50,000 under $75,000",13,32,8,"1,273",*         ,*              ,10,12,12,103,*         ,--        ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96015,139,286,74,"3,443",114,"2,593",36,29,90,201,16,10,29
"Under $10,000        ",31,49,11,108,20,86,*         ,*              ,*         ,*              ,*         ,10,--        
"$10,000 under $25,000",61,121,30,"1,048",55,977,19,26,45,26,*         ,*         ,*         
"$25,000 under $50,000",29,66,18,"1,072",27,886,17,3,27,57,16,*         ,29
"$50,000 under $75,000",18,50,15,"1,215",12,644,*         ,*              ,18,118,*         ,*         ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96016,142,291,58,"5,291",89,"2,436",83,195,110,447,20,--        ,39
"Under $10,000        ",15,21,3,25,11,45,*         ,*              ,*         ,*              ,10,--        ,--        
"$10,000 under $25,000",41,79,14,703,21,299,22,37,28,18,*         ,--        ,*         
"$25,000 under $50,000",47,98,18,"1,716",33,946,31,81,43,107,10,--        ,26
"$50,000 under $75,000",23,58,17,"1,378",24,"1,146",17,26,23,122,*         ,--        ,*         
"$75,000 under $100,000",16,35,6,"1,469",*         ,*              ,13,51,16,200,*         ,--        ,13
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96017,69,141,45,"2,092",50,"1,266",28,9,55,138,11,--        ,18
"Under $10,000        ",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$10,000 under $25,000",39,72,25,616,27,399,12,4,27,28,11,--        ,*         
"$25,000 under $50,000",18,33,5,626,23,867,16,5,16,42,*         ,--        ,18
"$50,000 under $75,000",12,36,15,850,*         ,*              ,*         ,*              ,12,68,*         ,--        ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96019,"3,695","7,834","2,543","118,049","3,107","88,200","1,298","1,498","2,551","9,327",550,*         ,"1,024"
"Under $10,000        ",826,"1,227",290,"3,685",632,"3,253",154,150,234,72,88,*         ,34
"$10,000 under $25,000","1,150","2,256",766,"19,679",953,"14,878",285,282,769,759,138,*         ,149
"$25,000 under $50,000",975,"2,318",816,"35,125",862,"28,304",373,329,820,"2,089",174,--        ,346
"$50,000 under $75,000",458,"1,235",414,"27,899",414,"22,551",280,321,442,"2,303",86,*         ,273
"$75,000 under $100,000",183,525,180,"15,625",165,"11,774",123,139,183,"1,583",33,--        ,139
